work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
华冈青洲之妻.md,WL-WORK-1010,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
华夏集.md,WL-WORK-1605,T4,T4 全球现代主义时代,R5 北美文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
华氏451.md,WL-WORK-0319,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,★,existing,existing,existing,existing,existing,existing
华胥引.md,WL-WORK-2747,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
卖牛奶的台维.md,WL-WORK-3194,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
南太平洋故事.md,WL-WORK-2981,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
南方.md,WL-WORK-2468,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
南方与北方.md,WL-WORK-2030,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
占星术杀人魔法.md,WL-WORK-0176,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
占有.md,WL-WORK-1012,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,★,existing,existing,existing,existing,existing,existing
卡卡温罗摩衍那.md,WL-WORK-1420,T1,T1 中古多中心文学世界,R3 南亚文学 | R8 东南亚文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
卡拉贾奥兰诗歌.md,WL-WORK-R1-KARACAOGLAN,T2,T2 早期现代文学,R1 西亚—地中海古老传统,M1 早期现代思想与美学,G1 诗歌,QH5 权力、制度与秩序,△,existing,existing,t_default,title,t_default,conservative_default
卡拉马佐夫兄弟.md,WL-WORK-2842,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,existing,existing,existing,t_default,existing
卡特里奥娜.md,WL-WORK-2469,T4,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
卡瓦利与克雷的神奇冒险.md,WL-WORK-3017,T6,T6 当代全球文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
卡皮斯特拉诺的诅咒.md,WL-WORK-2470,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客 | QT8.2 欧洲骑士,△,existing,existing,t_default,existing,existing,existing
卡米拉.md,WL-WORK-0615,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
卡里来和笛木乃.md,WL-WORK-T1-KALILA,T1,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,G4 散文与随笔,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
卡门.md,WL-WORK-2471,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
卡马亚尼.md,WL-WORK-R3-52950682,T4,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,t_default,t_default,t_default,other_topic
卢济塔尼亚人之歌.md,WL-WORK-3168,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G1 诗歌,QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,mechanism,existing
卫兵！卫兵！.md,WL-WORK-0616,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
印卡王室述评.md,WL-WORK-1606,T2,T2 早期现代文学,R6 拉丁美洲与加勒比,M1 早期现代思想与美学,G6 纪实与文学非虚构,QH5 权力、制度与秩序,★,existing,existing,existing,existing,existing,existing
印度之行.md,WL-WORK-1607,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism | M4 集体文学运动与文化政治,G3 小说,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
印斯茅斯的阴霾.md,WL-WORK-0617,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
危险关系.md,WL-WORK-2031,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
危险幻象.md,WL-WORK-0367,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
厄舍府的倒塌.md,WL-WORK-0618,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
历史.md,WL-WORK-1422,T0,T0 文学源头与古代文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤 | QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
历史的天空.md,WL-WORK-2872,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
历史（希罗多德）.md,WL-WORK-R1-HERODOTUS-HISTORIES,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
历史（莫兰特）.md,WL-WORK-3162,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,mechanism,existing
厌世者.md,WL-WORK-2831,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G2 戏剧,QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,mechanism,existing
原始人.md,WL-WORK-2917,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
厨房.md,WL-WORK-2032,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
去你四散的身躯.md,WL-WORK-2903,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
去卡拉的使命.md,WL-WORK-1609,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,topic_direct,existing
去吧，摩西.md,WL-WORK-1014,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
去斯万家那边.md,WL-WORK-1610,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
双城记.md,WL-WORK-1015,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事 | QH5 权力、制度与秩序 | QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
双头恶魔.md,WL-WORK-0185,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
双星.md,WL-WORK-0304,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
双重赔偿.md,WL-WORK-0079,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
反叛者.md,WL-WORK-R3-17459640,T4,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,t_default,t_default,t_default,other_topic
发光体.md,WL-WORK-3070,T6,T6 当代全球文学,R9 大洋洲与太平洋,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,mechanism,existing
发条女孩.md,WL-WORK-0427,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
变.md,WL-WORK-1611,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
变形记.md,WL-WORK-1423,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G1 诗歌,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
变形记（卡夫卡）.md,WL-WORK-2845,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命,◆,existing,existing,existing,existing,existing,existing
变革时代.md,WL-WORK-2932,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
古今和歌集.md,WL-WORK-3180,T1,T1 中古多中心文学世界,R2 东亚文学,,G1 诗歌,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,existing,t_default,existing
古兰经.md,WL-WORK-R1-QURAN,T1,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
古典爱情.md,WL-WORK-2788,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
古拉格群岛.md,WL-WORK-1612,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
古文物专家的鬼故事.md,WL-WORK-0620,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
古斯特少尉.md,WL-WORK-1613,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
古舟子咏.md,WL-WORK-M2-6E4EC00F3A93,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 浪漫主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,t_default,existing,t_default,t_default,other_topic
古鲁·格兰特·萨希卜.md,WL-WORK-R3-62607531,T2,T2 早期现代文学,R3 南亚文学,M1 早期现代思想与美学,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,t_default,t_default,t_default,other_topic
可以吃的女人.md,WL-WORK-1614,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
可以筑巢的人.md,WL-WORK-2956,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
台北人.md,WL-WORK-1615,T5,T5 二战后多极文学,R2 东亚文学,M3.1 现代主义 / Modernism,G3 小说,QH3.5 迁徙与流亡 | QH7 历史、记忆与时间,★,existing,existing,existing,existing,existing,existing
史记.md,WL-WORK-1017,T0,T0 文学源头与古代文学,R2 东亚文学,,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠 | QT8.7 侠盗,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
史记·刺客列传.md,WL-WORK-2474,T0,T0 文学源头与古代文学,R2 东亚文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠 | QT8.7 侠盗,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
史记·游侠列传.md,WL-WORK-2475,T0,T0 文学源头与古代文学,R2 东亚文学,,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠 | QT8.7 侠盗,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
叶甫盖尼·奥涅金.md,WL-WORK-M2-0FD416E4AD62,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 浪漫主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,author_model,existing,t_default,t_default,other_topic
叶隐入门.md,WL-WORK-2477,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪,△,existing,existing,existing,existing,existing,existing
合成人.md,WL-WORK-0393,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
吉尔伽美什史诗.md,WL-WORK-1425,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
吉普赛谣曲.md,WL-WORK-3157,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G1 诗歌,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
吉檀迦利.md,WL-WORK-2823,T4,T4 全球现代主义时代,R3 南亚文学,M3 现代主义与先锋派,G1 诗歌,QH5 权力、制度与秩序,★,existing,existing,existing,existing,mechanism,existing
吉迪恩之火.md,WL-WORK-3090,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
同名人.md,WL-WORK-1018,T6,T6 当代全球文学,R10 跨区域文学传统,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长 | QH2.3 家庭与家族,△,existing,topic_direct,existing,existing,existing,existing
同情者.md,WL-WORK-2034,T6,T6 当代全球文学,R5 北美文学 | R8 东南亚文学 | R5 北美文学 | R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
名为和平的荒芜.md,WL-WORK-2926,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
名为帝国的记忆.md,WL-WORK-0412,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
名利场.md,WL-WORK-2035,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,existing,existing
后水浒传.md,WL-WORK-2478,T2,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
