work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
乌尔哀歌.md,WL-WORK-R1-LAMENT-UR,T0,史诗、经典与公共文学成熟，以“文字、书写与文本固定”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
乌托邦.md,WL-WORK-0257,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治 | 帝国、航海、殖民与旅行书写,generated_from_generic,existing,mechanism,existing,yes
乌有乡消息.md,WL-WORK-0266,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
乐观者的女儿.md,WL-WORK-2996,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
乔瓦尼的房间.md,WL-WORK-1568,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
乔纳森·斯特兰奇与诺雷尔先生.md,WL-WORK-0572,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
九三年.md,WL-WORK-0973,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
九云梦.md,WL-WORK-2820,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的跨区域转译节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,跨区域转译,印刷、书籍市场与读者扩大 | 俗语化、翻译与新读者共同体,generated_from_generic,existing,mechanism,existing,yes
九命幻术师.md,WL-WORK-0573,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
九尾怪猫.md,WL-WORK-0044,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
九州·缥缈录.md,WL-WORK-0574,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
九曲丧钟.md,WL-WORK-0048,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
九狐霸图.md,WL-WORK-0413,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
书剑恩仇录.md,WL-WORK-2444,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
乾隆皇帝.md,WL-WORK-0974,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
了不起的盖茨比.md,WL-WORK-1569,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
事先准备.md,WL-WORK-0052,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
二十年后.md,WL-WORK-0975,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
二手时间.md,WL-WORK-2007,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
二月.md,WL-WORK-2684,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
二钱铜币.md,WL-WORK-0146,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
云使.md,WL-WORK-3176,T0,史诗、经典与公共文学成熟的古代南亚传统中，以“抒情诗”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,抒情诗 | 古典梵语诗歌,generated_from_generic,existing,stage,existing,yes
云图.md,WL-WORK-0433,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
云海玉弓缘.md,WL-WORK-2445,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
云街.md,WL-WORK-3211,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
云雀之歌.md,WL-WORK-2446,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
五个十二月.md,WL-WORK-3148,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
五个孩子和沙精.md,WL-WORK-0575,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
五只小猪.md,WL-WORK-0027,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
五号屠场.md,WL-WORK-0351,T5,文学爆炸与全球分叉，以“二战 → 废墟 → 创伤”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,二战 → 废墟 → 创伤,generated_from_generic,existing,stage,existing,yes
亚当，你到过哪里？.md,WL-WORK-2008,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
亚瑟·戈登·皮姆历险记.md,WL-WORK-0576,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
亲缘.md,WL-WORK-0360,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
人世间.md,WL-WORK-2887,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
人世间（普拉姆迪亚）.md,WL-WORK-3172,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
